codigo_produto,status,data_processamento,link_produto,descricao_titulo,sub_descricao,features,specs,part_codes,part_notices,certifications,references,package_info,size_chart,video_url,imagens_urls,substituicao_oem,tabela_ajustes,texto_ajustes,link_catalogo,imagem_diretorio,video_detalhado
20101555,CONCLUIDO,2025-06-30 10:42:47,https://www.parts-unlimited.com/product/20101555,Produto 20101555 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101555,"20101555, 20101555-A, 20101555-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101555.pdf; Guia instalação: https://example.com/install_20101555.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101555_demo,https://example.com/images/20101555_1.jpg; https://example.com/images/20101555_2.jpg; https://example.com/images/20101555_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101555 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101555_diagram.jpg,https://example.com/videos/install_20101555_detailed.mp4
20101556,CONCLUIDO,2025-06-30 10:42:54,https://www.parts-unlimited.com/product/20101556,Produto 20101556 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101556,"20101556, 20101556-A, 20101556-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101556.pdf; Guia instalação: https://example.com/install_20101556.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101556_demo,https://example.com/images/20101556_1.jpg; https://example.com/images/20101556_2.jpg; https://example.com/images/20101556_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101556 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101556_diagram.jpg,https://example.com/videos/install_20101556_detailed.mp4
20101557,CONCLUIDO,2025-06-30 10:43:00,https://www.parts-unlimited.com/product/20101557,Produto 20101557 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101557,"20101557, 20101557-A, 20101557-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101557.pdf; Guia instalação: https://example.com/install_20101557.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101557_demo,https://example.com/images/20101557_1.jpg; https://example.com/images/20101557_2.jpg; https://example.com/images/20101557_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101557 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101557_diagram.jpg,https://example.com/videos/install_20101557_detailed.mp4
ABC123,NAO_ENCONTRADO,2025-06-30 10:43:04,,,,,,,,,,,,,,,,,,,
XYZ789,NAO_ENCONTRADO,2025-06-30 10:43:07,,,,,,,,,,,,,,,,,,,
20101555,CONCLUIDO,2025-06-30 10:46:13,https://www.parts-unlimited.com/product/20101555,Produto 20101555 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101555,"20101555, 20101555-A, 20101555-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101555.pdf; Guia instalação: https://example.com/install_20101555.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101555_demo,https://example.com/images/20101555_1.jpg; https://example.com/images/20101555_2.jpg; https://example.com/images/20101555_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101555 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101555_diagram.jpg,https://example.com/videos/install_20101555_detailed.mp4
20101556,CONCLUIDO,2025-06-30 10:46:19,https://www.parts-unlimited.com/product/20101556,Produto 20101556 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101556,"20101556, 20101556-A, 20101556-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101556.pdf; Guia instalação: https://example.com/install_20101556.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101556_demo,https://example.com/images/20101556_1.jpg; https://example.com/images/20101556_2.jpg; https://example.com/images/20101556_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101556 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101556_diagram.jpg,https://example.com/videos/install_20101556_detailed.mp4
20101557,CONCLUIDO,2025-06-30 10:46:26,https://www.parts-unlimited.com/product/20101557,Produto 20101557 - Peça Automotiva Premium,Peça de alta qualidade com garantia estendida,"• Resistente à corrosão
• Instalação rápida e fácil
• Compatível com múltiplos modelos
• Garantia de 2 anos",Material: Aço inoxidável | Peso: 1.5kg | Dimensões: 20x10x8cm | Código: 20101557,"20101557, 20101557-A, 20101557-STD",IMPORTANTE: Verificar compatibilidade com o modelo do veículo antes da instalação,"ISO 9001:2015, DOT Approved, CE Certified",Manual técnico: https://example.com/manual_20101557.pdf; Guia instalação: https://example.com/install_20101557.pdf,"Embalagem individual lacrada, inclui parafusos e vedações",Consultar tabela de compatibilidade no site oficial,https://youtube.com/watch?v=20101557_demo,https://example.com/images/20101557_1.jpg; https://example.com/images/20101557_2.jpg; https://example.com/images/20101557_3.jpg,"Substitui peças OEM: 2010001, 2010002, 2010003",2015-2018: Todos os modelos | 2019-2021: Apenas versão Sport | 2022+: Compatível com nova geração,"Peça 20101557 é compatível com motores 2.0L, 2.5L e 3.0L. Verificar ano do veículo.",https://example.com/catalog/section_20.pdf,https://example.com/directory/20101557_diagram.jpg,https://example.com/videos/install_20101557_detailed.mp4
ABC123,NAO_ENCONTRADO,2025-06-30 10:46:29,,,,,,,,,,,,,,,,,,,
XYZ789,NAO_ENCONTRADO,2025-06-30 10:46:33,,,,,,,,,,,,,,,,,,,
